Advantage,Step,TemplateLoss,TotalStepsPerEpisode,ValueLoss,Valid,StepsPerSecond,ObjectLoss,EntropyLoss,PolicyTemplateLoss,PolicyObjLoss,ObjectEntropy,Loss,TemplateEntropy,PolicyLoss,Value,UnclippedGradNorm,ClippedGradNorm,EpisodeScore
-0.06428308039903641,8,0.28084370493888855,4.5,0.03082389011979103,0.0,1.1180466310140755,0.08408830314874649,-0.0009776393417268991,-0.5281421914696693,-0.6295819729566574,0.009365433477796614,-5.535693168640137,0.023222658317536116,-0.6579247713088989,0.10964877251535654,,,
0.08976317197084427,16,0.1010718047618866,12.5,0.1299736648797989,0.125,1.5155025824501784,0.012884837575256824,-0.0009775303769856691,0.8192934095859528,0.9615057036280632,0.009363627992570402,17.62369728088379,0.023219386115670204,1.1292563676834106,-0.1559308199211955,52.37505874922499,52.37505874922499,0.0
-0.060572367161512375,24,0.07132920622825623,20.5,0.024008849635720253,0.0,1.8288270978172811,0.012884862720966339,-0.000977370422333479,-0.2705143913626671,-0.35387979820370674,0.009361841133795679,-4.088069915771484,0.023217296460643414,-0.6528065204620361,0.051233389880508184,112.57391532572697,112.57391532572697,0.0
-0.03456882759928703,32,0.108159139752388,28.5,0.010630660690367222,0.0,2.1676227360438918,0.024422815069556236,-0.0009769968455657363,-0.15342841763049364,-0.17994729150086639,0.00935913750436157,-1.889756202697754,0.02321026590652764,-0.40941089391708374,0.029013240709900856,23.621200805748433,23.621200805748433,0.0
0.027570895850658417,40,0.13493621349334717,36.5,0.006481474731117487,0.0,2.4257556557390845,0.03638995438814163,-0.0009766764706000686,0.16600091196596622,0.19881954230368137,0.009355595568194985,3.999523878097534,0.023201739415526394,0.2974315285682678,-0.03198971343226731,13.155493851226227,13.155493851226227,0.0
-0.009325001388788223,48,0.09472343325614929,44.5,0.0012189926346763968,0.0,2.5780518241878982,0.024892957881093025,-0.0009758761152625084,-0.052110867196461186,-0.06567591615021229,0.009351745946332812,0.1184253841638565,0.023178596980869767,-0.08797572553157806,0.010291265818523243,15.316094255384805,15.316094255384805,0.0
-0.026280328631401062,56,0.04837016388773918,52.5,0.0058764866553246975,0.0,2.862119702589918,0.02330237254500389,-0.0009752438054420054,-0.1367083452641964,-0.16488912701606756,0.009347463957965374,-1.818552851676941,0.023153392365202308,-0.25796908140182495,0.025569013319909573,5.170749192266764,5.170749192266764,0.0
0.04548141360282898,64,0.04639200121164322,60.5,0.017049944028258324,0.0,2.956526897476377,0.02390439435839653,-0.0009746310533955693,0.23305499739944935,0.27855255641043186,0.009341431083157659,4.9578142166137695,0.023080664221197367,0.4915582537651062,-0.044133565388619914,13.316583679229403,13.316583679229403,0.0
-0.014060737565159798,72,0.1228475272655487,68.5,0.0020962548442184925,0.125,3.128070336208696,0.04505803808569908,-0.0009649443672969937,-0.10537480376660824,-0.13161025196313858,0.009334658388979733,-0.8800545930862427,0.022943296236917377,-0.16463841497898102,0.020889626117423177,27.43755281461469,27.43755281461469,0.0
-0.026457112282514572,80,0.11342215538024902,76.5,0.008412003517150879,0.0,3.112833588253564,0.044836290180683136,-0.0009556234581395984,-0.17265549302101135,-0.20744873024523258,0.009322770638391377,-1.6798908710479736,0.022505798377096653,-0.30622583627700806,0.033867039950564504,11.057300873523864,11.057300873523864,0.0
-0.002560034394264221,88,0.12476174533367157,84.5,0.0005924291326664388,0.125,2.9815167630470194,0.05386791750788689,-0.000918052508495748,-0.02633027033880353,-0.040107847686158486,0.009308259701356292,0.9746800661087036,0.021512625040486455,-0.07606488466262817,0.005044467301559052,17.12282992072339,17.12282992072339,0.0
0.010710101574659348,96,0.2159770429134369,92.5,0.001881124684587121,0.375,2.819598777032773,0.0923168957233429,-0.0008494388312101364,0.07595880515873432,0.1237473851069808,0.009285136591643097,3.807579755783081,0.018558941315859556,0.14943256974220276,-0.02131546474993229,4.572409910774864,4.572409910774864,0.0
0.012727279216051102,104,0.16078844666481018,100.5,0.002975728362798691,0.375,2.7295613023296794,0.06705455482006073,-0.0007340170559473336,0.0739084193482995,0.1280750995501876,0.009251149604097009,3.3661437034606934,0.014407441136427224,0.13541877269744873,-0.022054233821108937,12.285948943470771,12.285948943470771,0.0
0.002936646342277527,112,0.11927767843008041,108.5,0.00012807836174033582,0.75,2.7500686606770897,0.05386519432067871,-0.0006443778984248638,-0.0034047909430228174,0.002012401702813804,0.009198606596328318,1.3880894184112549,0.012077335501089692,0.013628272339701653,0.0019087430482613854,12.747512007639317,12.747512007639317,0.0
-0.010148236528038979,120,0.11576827615499496,116.5,0.001114354352466762,0.625,2.776445021155289,0.04477301612496376,-0.00058100646128878,-0.03609566926024854,-0.08305802568793297,0.009113527950830758,0.4286704659461975,0.01013046212028712,-0.016919774934649467,0.01651430211495608,3.6142760558860934,3.6142760558860934,0.0
-0.004391919821500778,128,0.13756683468818665,124.5,0.0004829130775760859,0.25,2.806169816468066,0.053011927753686905,-0.0005131902871653438,-0.015856475103646517,-0.022780735045671463,0.00896259187720716,1.0697455406188965,0.008614722872152925,-0.008884212002158165,0.010841136216185987,9.111395977462772,9.111395977462772,0.0
0.001513579860329628,136,0.11525346338748932,132.5,0.00015288323629647493,0.75,2.8020487568028085,0.05040208250284195,-0.00048426599823869765,0.005849928547831951,0.014268640661612153,0.00870526081416756,1.3982030153274536,0.007350960106123239,-0.02961287833750248,-0.004628236900316552,8.051555660220586,8.051555660220586,0.0
