PolicyTemplateLoss,PolicyObjLoss,ObjectLoss,ValueLoss,Advantage,ObjectEntropy,TemplateEntropy,Loss,Valid,StepsPerSecond,Step,TotalStepsPerEpisode,Value,TemplateLoss,PolicyLoss,EntropyLoss,UnclippedGradNorm,EpisodeScore,ClippedGradNorm
-8.865673303604124,-11.191933929920197,0.07232806831598282,9.033357620239258,-1.0131958723068237,0.00936574605293572,0.023220053873956203,44.80107879638672,0.125,1.1567353854843265,8,4.5,0.03972429223358631,0.27137190103530884,-12.00892448425293,-0.000977576826699078,,,
-5.315623581409454,-6.34262090921402,0.012884821742773056,6.31386661529541,-0.8466241359710693,0.009364834055304526,0.023215664783492688,-13.988916397094727,0.0,1.6463805241098612,16,12.5,-0.19901540875434875,0.042714670300483704,-10.11614990234375,-0.0009774818317964673,869.972662737593,0.0,108.67855639965273
-2.085489958524704,-3.2380347847938533,0.03643308952450752,1.7564573287963867,-0.32292670011520386,0.009362400393001735,0.02320610242895782,-18.422626495361328,0.125,2.0570511590222997,24,20.5,-0.6750624850392342,0.12267568707466125,-4.844944953918457,-0.0009769467869773507,667.2811052383313,0.0,112.93470979142678
3.4188172817230225,4.160614520311356,0.024714037775993347,3.3147730827331543,0.33234381675720215,0.009357073926366864,0.02316915336996317,108.28174591064453,0.125,2.420523195693668,32,28.5,-1.7601829022169113,0.09030836075544357,5.58487606048584,-0.0009757955558598042,430.0366083778994,0.0,111.56536836494712
4.067424982786179,4.693268775939941,0.03626493364572525,7.793315410614014,0.425681471824646,0.009352391236461699,0.023137545911595225,126.05180358886719,0.125,2.684036211832987,40,36.5,-1.9277452379465103,0.10136838257312775,9.055460929870605,-0.000975145201664418,1348.5190699844998,0.0,99.1538588345511
2.3710039108991623,2.6439478248357773,0.02427677810192108,5.124963283538818,0.12982243299484253,0.00934961636085063,0.02311120880767703,70.40122985839844,0.0,2.908320187189607,48,44.5,-1.6095796674489975,0.07962241768836975,6.583642959594727,-0.0009737661457620561,1677.4460403250873,0.0,96.50895901843931
0.4478771993890405,0.23348189378157252,0.012885048054158688,1.1519360542297363,-0.13045620918273926,0.00934843614231795,0.023131203604862094,22.443193435668945,0.125,3.079981289405047,56,52.5,-1.0311634093523026,0.06774559617042542,-0.2695271074771881,-0.000973794492892921,894.0504625267697,0.0,101.11850590059771
-1.5833155512809753,-2.0581982284784317,0.024391382932662964,2.615165948867798,-0.3372376561164856,0.00934590504039079,0.023117957171052694,-7.038895606994629,0.25,3.1124330634106476,64,60.5,-0.7528561875224113,0.10912743210792542,-2.5419845581054688,-0.0009734878549352288,214.7401236950082,0.0,107.51784483841078
-2.6721610128879547,-3.49343141913414,0.024846144020557404,2.6433217525482178,-0.5106960535049438,0.009343390003778042,0.023084055399522185,-21.12099266052246,0.0,3.1610351480672683,72,68.5,-0.7041304484009744,0.107313372194767,-5.064312934875488,-0.0009723693947307765,364.1831972181118,0.0,106.93875915454288
-1.716242998838425,-2.4915395826101303,0.034448061138391495,1.5374847650527954,-0.3592844009399414,0.009337316150777042,0.023094265023246408,-15.751466751098633,0.0,3.2402259495939583,80,76.5,-0.7296845689415931,0.09189917147159576,-4.795206069946289,-0.0009724055998958647,528.8025602373231,0.0,106.50645526644672
-0.7184522747993469,-1.8167597874999046,0.024666935205459595,1.3441989421844482,-0.2993741035461426,0.009327907348051667,0.023013977333903313,-7.75895357131958,0.0,3.2594764498365407,88,84.5,-0.896351784467697,0.05993089824914932,-2.096010684967041,-0.0009718125802464783,306.5423543803803,0.0,109.51478847986552
0.6095625553280115,0.6014933921396732,0.02404925413429737,0.5295966267585754,0.09621089696884155,0.009315729490481317,0.023031932534649968,20.815444946289062,0.0,3.283247648572366,96,92.5,-1.0374241322278976,0.052468039095401764,0.6941821575164795,-0.0009702632669359446,166.13729857205826,0.0,121.91983991100935
0.8667758647352458,0.5381664163433015,0.023826245218515396,0.9307478666305542,-0.05142545700073242,0.00930267770309001,0.02286740322597325,22.23839569091797,0.0,3.426201535803762,104,100.5,-1.1701052784919739,0.05298658087849617,1.0581135749816895,-0.0009668486891314387,200.65421232167384,0.0,102.39777424535362
0.3080036621540785,0.10955244302749634,0.022599754855036736,1.4804661273956299,0.05878019332885742,0.009294026298448443,0.022878027521073818,12.396331787109375,0.0,3.5882710916602654,112,108.5,-0.9909858033061028,0.05194128304719925,1.2633092403411865,-0.0009647183469496667,240.62457593797646,0.0,104.19693921901259
0.18755946028977633,-0.4646517457440496,0.045497454702854156,2.0229814052581787,-0.05840301513671875,0.009278242010623218,0.022509663365781307,13.28592300415039,0.375,3.672158926593269,120,116.5,-1.0721923187375069,0.14759770035743713,0.6797170639038086,-0.0009480627486482263,128.71194078158692,0.0,104.2764133310122
-1.188499666750431,-2.232953153550625,0.024315334856510162,1.1957355737686157,-0.238447368144989,0.009271709946915507,0.02247988758608699,-6.630687713623047,0.0,3.6939416020385663,128,124.5,-0.859059289097786,0.07870817184448242,-3.6938061714172363,-0.000955470313783735,211.01714771585523,0.0,94.41392441746018
-1.1650683600455523,-1.9463576599955559,0.012886437587440014,2.2890429496765137,-0.277449369430542,0.009253168711438775,0.022273292532190677,-9.189592361450195,0.0,3.7262771753832005,136,132.5,-0.8795316815376282,0.02086944878101349,-2.5394535064697266,-0.0009561350452713668,211.90198167830243,0.0,127.57821980485988
